nombre,numero de opiniones,puntuacion sobre 5,ranking,precio,tipos de cocina,dietas especiales,ubicaciones,puntuaciones desglosadas,Unnamed: 9
5 Mil Granos,4,"3,5",7.197,"['4', '15']","['Internacional', ' Mediterránea', ' Española']","['Comidas', ' Cenas']","Calle Alcañiz, 22, 28042 Madrid España","['1', '0', '1', '0', '1']",
Bar Luna,6,"4,0",7.196,,,,"Avenida de las Suertes 98, 28051 Madrid España","['1', '0', '0', '3', '2']",
Restaurante Montecarmelo Cafe,13,"3,5",7.198,,"['Asiática', ' China', ' Sushi']",,"Avenida Monasterio de El Escorial 77, 28049 Madrid España","['3', '1', '1', '3', '5']",
La Tia Feli,13,"3,5",7.199,,"['Bar', ' Tienda gourmet', ' Pub', ' Española']",,"Calle Ponzano 18 Las Letras, 28010 Madrid España","['5', '0', '0', '0', '7']",
Bar Eusebios,1,"5,0",7.200,,['Española'],,"Calle de San Mateo 14, 28004 Madrid España","['0', '0', '0', '0', '1']",
Mi Taska,20,"3,0",7.201,,['Española'],,"Glorieta Lopez de Hoyos 4, 28002 Madrid España","['4', '2', '3', '8', '3']",
Moontoppings,1,"5,0",7.202,,"['Café', ' Mediterránea', ' Española', ' Saludable']",,"Calle Agastia 38, 28027 Madrid España","['0', '0', '0', '0', '1']",
Anto III,1,"5,0",7.224,,,,"Calle de Antonio Grilo 3, 28015 Madrid España","['0', '0', '0', '0', '1']",
La montaderia,26,"3,0",7.225,,['Española'],,"Calle lagasca, 42, Madrid España","['3', '5', '5', '8', '3']",
One Bowl,3,"3,5",7.226,,['Asiática'],,"Calle de la Princesa 79, 28008 Madrid España","['0', '0', '1', '0', '1']",
Grama Arts Club,1,"5,0",7.227,"['5', '15']",['Sushi'],,"Calle del Pez 40, 28004 Madrid España","['0', '0', '0', '0', '1']",
Fat Boy tacos y burritos,5,"4,0",7.228,"['5', '11']",['Mexicana'],['Cenas'],"Calle Barco 45. Malasana. Madrid., 28004 Madrid España","['0', '0', '0', '1', '2']",
Bar En Ca' Kiko,1,"5,0",7.229,,,,"Calle de Carlos Arniches 22, 28005 Madrid España","['0', '0', '0', '0', '1']",
Scrum Rugby Bar,1,"5,0",7.230,,['Pub'],,"Calle de la Aviacion Espanola, 3, 28003 Madrid España","['0', '0', '0', '0', '1']",
Tony Roma's,117,"3,0",127,,['Americana'],,"Carretera El Plantio Km 1.800 Esq con Av. de los Claveless, 28220 Majadahonda España","['24', '21', '23', '21', '25']",
La Cocinona,3,"3,5",7.249,,['Española'],,"Calle Bolivar 11, 28045 Madrid España","['1', '0', '0', '0', '2']",
Hamburguesa Nostra,2,"4,0",7.250,"['5', '15']",['Americana'],"['Desayuno', ' Comidas', ' Cenas']","Calle de Margarita de Parma 1 C.C Sanchinarro, 28050 Madrid España","['0', '0', '1', '0', '1']",
Rodilla,2,"4,0",7.251,"['3', '10']",['Café'],"['Desayuno', ' Comidas', ' Cenas']","Interc. Moncloa C/ Princesa, 89 - L3 - mod. B, 28008 Madrid España","['0', '0', '1', '0', '1']",
El Chiringuito,1,"5,0",140,,,,"Calle Luis Béjar, 19, 28223 Pozuelo de Alarcón España","['0', '0', '0', '0', '1']",
La Negrucha,1,"5,0",7.252,,,,"Calle de Vital Aza, 58, 28017 Madrid España","['0', '0', '0', '0', '1']",
Mountain Tandoori,2,"5,0",7.253,"['17', '34']","['India', ' Asiática', ' Nepalí']","['Comidas', ' Cenas', ' Brunch', ' Bebidas']","Plaza Andrés Jáuregui, 18 18 Bajo, 28043 Madrid España","['0', '0', '0', '0', '1']",
Casa Adela,1,"5,0",7.254,"['5', '20']","['Restaurante de carne', ' Comida rápida', ' Mediterránea', ' Española', ' Saludable']","['Comidas', ' Cenas', ' Bebidas']","Calle Embajadores 28, 28012 Madrid España","['0', '0', '0', '0', '1']",
Lomite,2,"4,5",7.255,,,,"Calle Nicolas Sanchez 71, 28026 Madrid España","['0', '0', '0', '1', '1']",
Cafeteria Oriente,8,"3,5",7.275,,['Reservas'],,"Calle Arrieta 15, 28013 Madrid España","['2', '0', '1', '2', '3']",
Paolo by Danny's Jazz,3,"3,5",7.276,,,,"Plaza de Puerta Cerrada, 6, 28005 Madrid España","['1', '0', '0', '0', '2']",
Mercado de Pablo,1,"5,0",128,,['Española'],,"Calle Duque de Alba 3, 28220 Majadahonda España","['0', '0', '0', '0', '1']",
Venta Carmona,8,"3,5",7.277,,['Española'],,"Calle Bohemios, 12, 28041 Madrid España","['1', '0', '1', '5', '1']",
Tako-Away Princesa,1,"5,0",7.278,"['2', '8']","['Mexicana', ' Americana']","['Comidas', ' Cenas']","Calle de la Princesa 3, 28008 Madrid España","['0', '0', '0', '0', '1']",
All U Can Eat,68,"3,0",7.279,"['5', '10']","['Saludable', ' Mediterránea', ' Española']",['Opciones vegetarianas'],"Calle Gran Via 45, 28013 Madrid España","['7', '6', '4', '9', '12']",
La Casa Del Bochinche,1,"5,0",7.280,,"['Latina', ' Española']",,"Calle Parador del Sol 15, 28019 Madrid España","['0', '0', '0', '0', '1']",
Kebab Anmu,7,"3,5",7.281,,"['Comidas', ' Cenas']",,"Calle Fermín Caballero, 76, 28034 Madrid España","['2', '0', '0', '2', '3']",
Taberna Mamalucia,1,"5,0",130,"['9', '38']",['Italiana'],"['Desayuno', ' Comidas', ' Cenas', ' Bebidas']","Calle Las Norias, 14, 28220 Majadahonda España","['0', '0', '0', '0', '1']",
Delicoffee,1,"5,0",7.303,,"['Bar', ' Café', ' Española', ' Pub', ' Saludable']",,"Calle de Clara del Rey 81, 28002 Madrid España","['0', '0', '0', '0', '1']",
Bar Tr3s,1,"5,0",138,"['10', '30']",['Española'],,"Calle de Arsenio Fuster, 1, 28100 Alcobendas España","['0', '0', '0', '0', '1']",
La casa de Zhou,2,"4,0",7.304,,"['Comidas', ' Cenas']",,"Paseo Imperial 26, 28005 Madrid España","['0', '0', '0', '2', '0']",
La Martina Gastrobar,1,"4,0",7.305,,['Reservas'],,"Av. de Pablo Neruda, 77B, 28018 Madrid España","['0', '0', '0', '1', '0']",
Toppings and Salads,22,"3,0",.º 558,"['5', '15']","['Café', ' Saludable']",['Opciones vegetarianas'],"Calle Orense 22, 28020 Madrid España","['3', '4', '5', '2', '6']",
Chicken Guay,2,"4,0",7.307,"['4', '19']","['Americana', ' Española']","['Comidas', ' Cenas']","Ruta 77, Local 16 C.C. Palacio de Hielo, 28043 Madrid España","['0', '0', '0', '2', '0']",
Bar La Lastra,1,"4,0",7.308,,"['Café', ' Española']",,"Paseo de las Delicias 132, 28045 Madrid España","['0', '0', '0', '1', '0']",
Restaurante La Tentación de San Miguel,1,"5,0",7.331,,,,"Pza. Conde De Miranda, 4, 28005 Madrid España","['0', '0', '0', '0', '1']",
Al Punto Del Chef,1,"5,0",98,"['10', '15']","['Internacional', ' Española']",,"Calle Villaverde 13, 28902 Getafe España","['0', '0', '0', '0', '1']",
Café de la March,2,"4,0",7.332,,"['Desayuno', ' Comidas', ' Brunch', ' Bebidas']",,"C/ Castelló 77, 28006 Madrid España","['0', '0', '1', '0', '1']",
Backstage,14,"3,0",7.333,,"['Comedor', ' Mediterránea', ' Española']",,"Avenida Manoteras 22 Local 3, 28050 Madrid España","['2', '1', '4', '6', '1']",
IR SUSHI Chamberi,10,"3,5",7.335,"['2', '39']","['Japonesa', ' Sushi']","['Comidas', ' Cenas', ' Bebidas']","Calle Rios Rosas 51, 28003 Madrid España","['2', '1', '2', '2', '3']",
María Croquetas,1,"4,0",7.334,,['Española'],,"Fernando el Santo, 11, 28010 Madrid España","['0', '0', '0', '1', '0']",
Hawai Bombay,1,"5,0",7.336,"['42', '45']",['Mediterránea'],,"Calle Orense 70 acceso Calle Rosario Pino, 18, 28020 Madrid España","['0', '0', '0', '0', '1']",
Marrufo Coctelería,,,,,['Bares para comer'],,"Calle Noviciado 16, 28015 Madrid España",,
Por 303 Motivos,7,"3,5",7.361,,['Mediterránea'],,"Calle de Arturo Soria 303 Calle de Caleruega, 4, 28033 Madrid España","['2', '1', '0', '1', '3']",
I Sushi You,1,"4,0",7.362,,"['Comidas', ' Cenas']",,"Calle Segovia, 13, 28005 Madrid España","['0', '0', '0', '1', '0']",
Cervecería Belmari,4,"4,0",7.363,"['5', '9']",['Española'],,"Calle Alcalá 277, 28027 Madrid España","['1', '0', '0', '0', '3']",
Cafeteria Ambar,2,"3,5",7.364,,,,"Ramon de la Cruz 52, 28001 Madrid España","['0', '1', '0', '0', '1']",
La Marina Chamberi,5,"3,5",7.365,,"['Mediterránea', ' Española', ' Saludable']",,"Calle Breton de los Herreros 29, 28003 Madrid España","['1', '0', '1', '2', '1']",
Restaurante Chino Victoria III,10,"3,5",7.366,,['China'],,"Calle Higueras 36, 28047 Madrid España","['3', '1', '0', '1', '5']",
Cervecería La Nueva Estación Cafetería,1,"4,0",144,,"['Bar', ' Pub']",,"Calle Navalcarnero, 9, 28921 Alcorcón España","['0', '0', '0', '1', '0']",
Shorthon Grill,13,"3,5",7.367,,"['Española', ' Barbacoa']",,"Calle de Sor Ángela de la Cruz 40, 28020 Madrid España","['2', '3', '0', '3', '4']",
Hostal-redtaurante Casa Tere,1,"4,0",7.387,,['Española'],,"Nacional Vi Km. 54 Tablada., Madrid España","['0', '0', '0', '1', '0']",
La Lola Taller de Brasa,8,"3,5",7.388,"['6', '24']","['Argentina', ' Sudamericana', ' Española']","['Bebidas', ' Desayuno', ' Comidas', ' Cenas']","Calle de Joaquin Turina, 68 Plaza Manuel Mateo, 3, 28044 Madrid España","['1', '1', '2', '1', '3']",
Restaurante Cafeteria Bliss,17,"3,0",7.389,,['Española'],,"Calle Oriana 3, 28045 Madrid España","['5', '1', '3', '2', '6']",
A Brasa Aravaca,1,"4,0",7.390,,"['Española', ' Contemporánea', ' Internacional', ' Mediterránea', ' Europea']",,"Calle, Cam. De La Zarzuela, 23, 28023 Madrid España","['0', '0', '0', '1', '0']",
The Thirty Three,3,"3,5",7.391,,['Pub'],,"clara del rey 33, 28002 Madrid España","['1', '0', '0', '1', '1']",
Taberna La Cañería y Empanada Magerit,5,"3,5",7.392,"['2', '5']",['Española'],,"Calle de Martinez Villergas 14 Local 1, 28027 Madrid España","['2', '0', '0', '0', '3']",
Dinastia Restaurante,36,"3,0",99,,"['China', ' Japonesa', ' Asiática', ' Sushi']",,"Calle Einstein s/n Junto Al Hospital Universitario de Getafe, 28907 Getafe España","['7', '6', '5', '4', '8']",
Sagredo,21,"3,5",7.393,,"['Mediterránea', ' Española']",,"Avenida Mediterraneo 16, 28007 Madrid España","['3', '1', '6', '7', '4']",
K2 - Doner Kebab,18,"3,5",108,,"['Turca', ' Pakistaní']",,"Calle de  Leganés, 52, 28945 Fuenlabrada España","['2', '1', '8', '2', '5']",
Lied Restauración,1,"5,0",7.412,"['2', '8']","['Española', ' Internacional']","['Brunch', ' Bebidas', ' Desayuno', ' Comidas', ' Cenas']","Avenida Sur del Aeropuerto de Barajas Edificio 16, Planta Baja,Centro de Negocios Eisenhower, 28042 Madrid España","['0', '0', '0', '0', '1']",
El Escaño,1,"4,0",7.413,,"['Italiana', ' Café', ' Española', ' Argentina', ' Sudamericana', ' Restaurantes de cerveza']",,"Calle Del Marqués De Cuba 16, 20014 Madrid España","['0', '0', '0', '1', '0']",
Charrito,238,"3,0",146,,"['Marisco', ' Mediterránea', ' Española']",,"Avenida Retamas 72, 28922 Alcorcón España","['46', '27', '42', '78', '45']",
Taperia 26,1,"4,0",7.414,,,,"Calle Miguel Ángel, 26, 28010 Madrid España","['0', '0', '0', '1', '0']",
La Sal Del Mentidero,237,"3,0",7.415,"['20', '35']","['Mediterránea', ' Española', ' Fusión']","['Comidas', ' Cenas']","Ronda de la Comunicación 3, 28050 Madrid España","['48', '37', '48', '54', '47']",
Taberna Navarra,1,"4,0",7.416,,['Española'],,"Reina, 25, 28004 Madrid España","['0', '0', '0', '1', '0']",
Zoquito Campo de las Naciones,2,"4,0",7.417,,"['Mediterránea', ' Española']",,"Calle Vía de los Poblados, 11, 28033 Madrid España","['0', '0', '1', '0', '1']",
ASADOR SAN ISIDRO,4,"4,0",7.438,,"['Española', ' Asador']",,"Carretera Villaverde a Vallecas Km. 3.5 Ctm de Madrid, 28053 Madrid España","['1', '0', '0', '1', '2']",
Sabor a la mesa,3,"3,5",7.439,"['15', '50']",['Española'],"['Comidas', ' Cenas', ' Abierto hasta tarde', ' Bebidas']","Avenida de Europa 25, 28023 Madrid España","['1', '0', '0', '0', '2']",
Restaurante La Perla Boliviana I - II,32,"3,5",7.440,,"['Latina', ' Española']",,"calle Monederos 42, 28026 Madrid España","['6', '1', '7', '8', '8']",
Restaurante La Coqueta,23,"3,0",61,,"['Internacional', ' Española']",,"Méjico, 14 b Locales 2 y 3, 28823 Coslada España","['6', '4', '2', '2', '9']",
Las Weekends,7,"3,5",102,"['8', '20']","['Sushi', ' Asiática', ' China']",['Reservas'],"Avenida Rocinante 2, 28906 Getafe España","['1', '1', '1', '3', '1']",
Terraza La Playa Madrid Río,2,"3,5",7.441,,['Española'],,"Parque Madrid Rio, P.º de las Yeserías, 33, 28005 Madrid España","['0', '0', '0', '1', '0']",
Cafeteria Villa,1,"4,0",99,,"['Café', ' Mediterránea', ' Europea', ' Española', ' Bares para comer']",,"Avenida Carlos Sainz 23 Detras Tienda Subaru, 28914 Leganés España","['0', '0', '0', '1', '0']",
Churrería-Chocolatería Las Farolas de la calle Extremadura,9,"3,5",7.442,,,,"Paseo de Extremadura 31, 28011 Madrid España","['2', '0', '2', '3', '1']",
Panaria Acacias,3,"3,5",7.462,"['5', '15']",['Mediterránea'],,"Paseo de las Acacias 22, 28005 Madrid España","['1', '0', '0', '0', '2']",
Restaurante Abascal,142,"3,0",7.463,"['25', '100']","['Mediterránea', ' Europea', ' Española']","['Opciones vegetarianas', ' Opciones sin gluten']","Fernandez de la Hoz, 66, 28010 Madrid España","['33', '20', '14', '28', '35']",
Bar Pulpo,51,"3,0",7.464,,"['Mediterránea', ' Española']",,"Calle Ferrocarril, 21, 28045 Madrid España","['11', '5', '8', '16', '8']",
La Tacoteca Restaurante,22,"3,0",7.466,"['5', '13']","['Centroamericana', ' Mexicana', ' Sudamericana']","['Comidas', ' Bebidas', ' Cenas']","Glorieta de Marqués de Vadillo, 4 Madrid Rio, 28019 Madrid España","['5', '5', '3', '2', '7']",
GRUPO SOLERA & ESENCIA RESTAURACION SL,1,"4,0",7.465,,"['Desayuno', ' Comidas', ' Cenas']",,"Avenida NAZARET, 8 BAJO;LOCAL, 28009 Madrid España","['0', '0', '0', '1', '0']",
Bar- Restaurante Silos,9,"3,5",7.467,,['Española'],,"Calle la Hiruela, 28039 Madrid España","['1', '0', '5', '1', '2']",
Cafeteria Bar Cartagena V,1,"5,0",7.468,,['Española'],,"Calle de Cartagena 5, 28028 Madrid España","['0', '0', '0', '0', '1']",
Lomirock,1,"4,0",7.469,,"['Pizza', ' Comida rápida', ' Barbacoa', ' Fusión']",,"Calle Pinos Alta, 3, Madrid, Madrid España","['0', '0', '0', '1', '0']",
Masaymas,1,"4,0",7.490,"['4', '24']",['Española'],"['Comidas', ' Cenas']","Calle Narvaez 72, 28009 Madrid España","['0', '0', '0', '1', '0']",
La Cruda,2,"3,5",7.491,,['Española'],,"C/ Divino Valles 28, Madrid España","['0', '1', '0', '0', '0']",
Sueños y tapas,2,"4,0",149,,['Europea'],,"Calle Mingo Fraile, 14., 28922 Alcorcón España","['0', '0', '0', '2', '0']",
Restaurante O'boi,1,"4,0",7.492,,['Mediterránea'],,"Calle De Melilla, 69, 28005 Madrid España","['0', '0', '0', '1', '0']",
Hermanos Lopez,1,"5,0",7.493,,,,"Calle Piquenas 10, 28044 Madrid España","['0', '0', '0', '0', '1']",
Terwals Restaurant,1,"4,0",7.494,,"['Desayuno', ' Comidas', ' Cenas']",,"Paseo Del Quince de Mayo, 6, 28019 Madrid España","['0', '0', '0', '1', '0']",
Cafetería Stivenson,4,"3,5",7.495,,"['Café', ' Española']",,"Calle de Santa Engracia 138, 28003 Madrid España","['1', '0', '1', '0', '2']",
La Taberna Boadilla,8,"3,5",82,"['5', '25']",['Española'],,"Calle Martires 3, 28660 Boadilla del Monte España","['1', '0', '2', '3', '2']",
Córner 21,1,"4,0",7.513,,,,"Av. de la Plaza de Toros, 21, 28025 Madrid España","['0', '0', '0', '1', '0']",
Ginza Restaurante,3,"3,5",7.515,,"['China', ' Sushi', ' Española', ' Asiática']",,"C. de Velázquez, 47, 28001 Madrid España","['1', '0', '0', '0', '1']",
Sky Sushi & Ramen Galileo,1,"4,0",7.516,,,,"Calle De Galileo, 17, 28015 Madrid España","['0', '0', '0', '1', '0']",
Motown,7,"3,5",7.517,,"['Comidas', ' Cenas', ' Brunch']",,"Calle de Fermin Caballero 7 Bajo Posterior., 28034 Madrid España","['2', '0', '0', '3', '2']",
Bosco bistro los Jerónimos,10,"3,5",7.518,,"['Café', ' Española', ' Contemporánea']",,"Calle Moreto 15, 28014 Madrid España","['2', '1', '1', '3', '2']",
Willy Factory,1,"4,0",7.519,"['2', '7']",['Española'],,"Plaza de República Dominicana,2, 28006 Madrid España","['0', '0', '0', '1', '0']",
Restaurante Arroceria Puerta de Atocha,376,"3,5",7.520,"['13', '19']","['Opciones vegetarianas', ' Opciones sin gluten']","['Cenas', ' Abierto hasta tarde']","Calle Tortosa, 10 Frente salida AVE a Mendez Alvaro, 28045 Madrid España","['98', '26', '29', '27', '131']",
Tony Roma's,105,"3,0",7.521,,['Americana'],,"Calle de Orense, 34, 28020 Madrid España","['18', '12', '22', '25', '19']",
Bar Bilbao,2,"3,5",152,,"['Bar', ' Pub']",,"Calle Bilbao, 13, 28921 Alcorcón España","['0', '1', '0', '0', '1']",
El Gran Sol,14,"3,5",7.536,,['Española'],,"Calle Rios Rosas 10, 28003 Madrid España","['2', '1', '6', '0', '5']",
,1,"4,0",.º 7537,,"['Comidas', ' Cenas']",,"Cl. Carretas 3 Bajo D, 28012 Madrid España","['0', '0', '0', '1', '0']",
Da Jin Hong,20,"3,5",7.538,,"['China', ' Japonesa', ' Asiática']",,"Calle Aquitania Esquina Bulgaria, 28032 Madrid España","['4', '3', '1', '8', '4']",
Pizzapole,3,"3,5",7.539,"['3', '9']",['Italiana'],,"Calle De La Fé Madrid Número 13, 28012 Madrid España","['0', '0', '0', '0', '2']",
Empanada Express,2,"3,5",7.540,,"['Bar', ' Café', ' Comida rápida', ' Pub']",,"Calle de Alcala 640, 28022 Madrid España","['0', '1', '0', '0', '1']",
Baguettino Coffee,5,"3,0",7.541,,['Española'],,"Calle de Alcalá, 601, 28022 Madrid España","['1', '0', '1', '0', '0']",
Cerveza Monasterio,2,"4,0",7.542,"['5', '20']",['Española'],,"Calle de Rodriguez San Pedro 9, 28015 Madrid España","['0', '0', '1', '0', '1']",
Merendero El Madroño,6,"3,0",7.561,,"['Desayuno', ' Comidas', ' Cenas']",,"Camino las Cruces s/n, 28044 Madrid España","['1', '1', '1', '2', '1']",
Teje y Maneje Ponzano,44,"3,0",7.562,"['6', '20']","['Mediterránea', ' Española', ' Pub restaurante']",['Cenas'],"Calle Ponzano 14, 28010 Madrid España","['15', '4', '3', '1', '20']",
Restaurante Teletorta,4,"3,5",7.563,,"['Comidas', ' Cenas']",,"Calle Carlos Sole 36, 28038 Madrid España","['0', '0', '2', '2', '0']",
Restaurante Palacio Oriente,6,"3,5",7.564,,,,"Calle Emilio Ferrari, 12 BAJO, 28017 Madrid España","['0', '1', '2', '2', '1']",
Food Fusion,2,"4,0",7.565,,['Japonesa'],,"Calle Hortaleza 10, 28004 Madrid España","['0', '0', '1', '0', '1']",
La H Es Muda General Oraá,1,"4,0",7.566,,"['Americana', ' Comida rápida']",,"Calle Del Gral Oraá 56, 28006 Madrid España","['0', '0', '0', '1', '0']",
Jin Gu,7,"3,5",7.567,,['China'],,"Calle Perpetua Diaz 37, 28026 Madrid España","['0', '1', '0', '2', '3']",
Cafetería Montesa-Hermosilla 98,5,"3,5",7.568,,"['Desayuno', ' Comidas', ' Cenas']",,"Calle Hermosilla, 98 BAJO;TDA, 28009 Madrid España","['1', '0', '1', '0', '2']",
Mundo Kebab,3,"3,5",7.587,,['Turca'],,"C/ Del Áncora 15, 28045 Madrid España","['1', '0', '0', '1', '1']",
Juicy Avenue Moraleja Green,2,"3,5",7.588,,"['Café', ' Internacional']",,"Avenida de Europa 13 CC Moraleja Green, 28023 Madrid España","['0', '0', '1', '1', '0']",
La Manjería,5,"3,5",7.590,,,,"Calle Corazon de Maria 35, 28002 Madrid España","['1', '0', '1', '1', '2']",
Cerveceria Cruz Blanca,14,"3,5",7.589,,['Española'],,"Calle Bronce 13, 28045 Madrid España","['2', '1', '4', '3', '3']",
Roxanne,1,"4,0",154,,"['Bar', ' Pub']",,"F 2 Calle de Vicente Aleixandre 1, 28922 Alcorcón España","['0', '0', '0', '1', '0']",
Pizzeria Roberto,5,"3,5",7.591,,,,"Paseo del Molino 7 Escalera 3 Planta 1 Puerta 9, 28045 Madrid España","['1', '0', '1', '2', '1']",
Casa de Castilla La Mancha,6,"3,5",7.592,"['22', '30']",['Española'],"['Comidas', ' Cenas', ' Bebidas']","Calle de la Paz 4, 28012 Madrid España","['1', '0', '2', '1', '2']",
Nacho's,1,"4,0",7.593,,['Española'],,"Paseo Delicias, 89, 28045 Madrid España","['0', '0', '0', '1', '0']",
El Rincon Del Pilar,1,"4,0",7.613,,['Española'],,"Calle Melchor Fernández Almagro 58, 28029 Madrid España","['0', '0', '0', '1', '0']",
El Canalla Gastrotaberna,21,"3,0",7.614,,['Fusión'],,"Calle Cava Baja 42, 28005 Madrid España","['7', '1', '2', '2', '6']",
Casa Angel,152,"3,0",105,,"['Mediterránea', ' Española']",,"Avenida Vicente Ferrer 13, 28918 Leganés España","['46', '11', '13', '39', '42']",
Bar - Restaurante Goya 3,6,"4,0",65,,,,"Plaza del Sol nº 3, 28821 Coslada España","['1', '1', '0', '0', '2']",
La Caprichosa,5,"3,5",7.615,"['4', '20']",,,"Calle Lago Constanza 4, 28017 Madrid España","['1', '0', '0', '1', '1']",
Distrito Centro,12,"3,0",7.616,,['Española'],,"Calle de San Alberto, 3, 28013 Madrid España","['5', '0', '1', '0', '5']",
Parrilla Olmedilla,4,"3,5",7.617,,['Española'],,"Calle de San Faustino 23, 28022 Madrid España","['1', '1', '0', '0', '2']",
Nova Galicia - La misma historia,1,"4,0",7.618,,['Española'],,"Calle de la Cruz 6, 28012 Madrid España","['0', '0', '0', '1', '0']",
Cafetería la Guía,17,"3,5",106,,['Española'],,"Avenida Rey Juan Carlos I, 13, 28915 Leganés España","['4', '2', '2', '3', '6']",
Baishun Taste,1,"4,0",7.638,,,,"Calle de Nicolas Sanchez 35, 28026 Madrid España","['0', '0', '0', '1', '0']",
